,Unnamed: 0,Gender,Age Range,Head Size(cm^3),Brain Weight(grams)
133,133,1,2,122,1310
134,134,2,1,2,1027
135,135,2,1,66,1235
136,136,2,1,147,1260
137,137,2,1,41,1165
138,138,2,1,15,1080
139,139,2,1,22,1127
140,140,2,1,98,1270
141,141,2,1,88,1252
142,142,2,1,23,1200
143,143,2,1,67,1290
144,144,2,1,171,1334
145,145,2,1,169,1380
146,146,2,1,61,1140
147,147,2,1,33,1243
148,148,2,1,70,1340
149,149,2,1,13,1168
150,150,2,1,64,1322
151,151,2,1,44,1249
152,152,2,1,124,1321
153,153,2,1,68,1192
154,154,2,1,160,1373
155,155,2,1,18,1170
156,156,2,1,37,1265
157,157,2,1,133,1235
158,158,2,1,184,1302
159,159,2,1,35,1241
160,160,2,1,11,1078
161,161,2,1,143,1520
162,162,2,1,91,1460
163,163,2,1,39,1075
164,164,2,1,81,1280
165,165,2,1,12,1180
166,166,2,1,31,1250
167,167,2,1,50,1190
168,168,2,1,150,1374
169,169,2,1,96,1306
170,170,2,1,17,1202
171,171,2,1,83,1240
172,172,2,1,97,1316
173,173,2,1,136,1280
174,174,2,1,109,1350
175,175,2,1,25,1180
176,176,2,1,106,1210
177,177,2,1,95,1127
178,178,2,1,179,1324
179,179,2,1,90,1210
180,180,2,1,127,1290
181,181,2,1,19,1100
182,182,2,1,183,1280
183,183,2,1,24,1175
184,184,2,1,76,1160
185,185,2,1,114,1205
186,186,2,1,111,1163
187,187,2,2,10,1022
188,188,2,2,59,1243
189,189,2,2,131,1350
190,190,2,2,20,1237
191,191,2,2,49,1204
192,192,2,2,7,1090
193,193,2,2,126,1355
194,194,2,2,92,1250
195,195,2,2,1,1076
196,196,2,2,8,1120
197,197,2,2,47,1220
198,198,2,2,79,1240
199,199,2,2,40,1220
200,200,2,2,51,1095
201,201,2,2,28,1235
202,202,2,2,36,1105
203,203,2,2,159,1405
204,204,2,2,9,1150
205,205,2,2,128,1305
206,206,2,2,62,1220
207,207,2,2,182,1296
208,208,2,2,43,1175
209,209,2,2,0,955
210,210,2,2,4,1070
211,211,2,2,100,1320
212,212,2,2,5,1060
213,213,2,2,6,1130
214,214,2,2,103,1250
215,215,2,2,18,1225
216,216,2,2,30,1180
217,217,2,2,21,1178
218,218,2,2,34,1142
219,219,2,2,56,1130
220,220,2,2,54,1185
221,221,2,2,3,1012
222,222,2,2,140,1280
223,223,2,2,76,1103
224,224,2,2,116,1408
225,225,2,2,135,1300
226,226,2,2,38,1246
227,227,2,2,206,1380
228,228,2,2,138,1350
229,229,2,2,27,1060
230,230,2,2,125,1350
231,231,2,2,132,1220
232,232,2,2,26,1110
233,233,2,2,59,1215
234,234,2,2,29,1104
235,235,2,2,48,1170
236,236,2,2,57,1120
