,sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
45,46,0,76.0,0,64.0,0,2,72.0,Sci&Tech,No,58.0,1,66.53,0,
46,47,0,70.89,1,71.98,1,2,65.6,Comm&Mgmt,No,68.0,1,71.63,0,
47,48,1,63.0,0,60.0,0,1,57.0,Comm&Mgmt,Yes,78.0,0,54.55,1,204000.0
48,49,1,63.0,1,62.0,1,1,68.0,Comm&Mgmt,No,64.0,0,62.46,1,250000.0
49,50,0,50.0,1,37.0,1,0,52.0,Others,No,65.0,1,56.11,0,
50,51,0,75.2,0,73.2,0,2,68.4,Comm&Mgmt,No,65.0,1,62.98,1,200000.0
51,52,1,54.4,0,61.12,0,1,56.2,Comm&Mgmt,No,67.0,1,62.65,0,
52,53,0,40.89,1,45.83,1,1,53.0,Comm&Mgmt,No,71.2,1,65.49,0,
53,54,1,80.0,1,70.0,1,2,72.0,Sci&Tech,No,87.0,1,71.04,1,450000.0
54,55,0,74.0,0,60.0,1,2,69.0,Comm&Mgmt,No,78.0,1,65.56,1,216000.0
55,56,1,60.4,0,66.6,1,2,65.0,Comm&Mgmt,No,71.0,1,52.71,1,220000.0
56,57,1,63.0,1,71.4,1,1,61.4,Comm&Mgmt,No,68.0,0,66.88,1,240000.0
57,58,1,68.0,0,76.0,0,1,74.0,Comm&Mgmt,No,80.0,0,63.59,1,360000.0
58,59,1,74.0,0,62.0,1,2,68.0,Comm&Mgmt,No,74.0,0,57.99,1,268000.0
59,60,1,52.6,0,65.58,1,2,72.11,Sci&Tech,No,57.6,0,56.66,1,265000.0
60,61,1,74.0,0,70.0,0,2,72.0,Comm&Mgmt,Yes,60.0,0,57.24,1,260000.0
61,62,1,84.2,0,73.4,0,1,66.89,Comm&Mgmt,No,61.6,0,62.48,1,300000.0
62,63,0,86.5,1,64.2,1,2,67.4,Sci&Tech,No,59.0,0,59.69,1,240000.0
63,64,1,61.0,1,70.0,1,1,64.0,Comm&Mgmt,No,68.5,1,59.5,0,
64,65,1,80.0,1,73.0,1,1,75.0,Comm&Mgmt,No,61.0,0,58.78,1,240000.0
65,66,1,54.0,1,47.0,1,2,57.0,Comm&Mgmt,No,89.69,1,57.1,0,
66,67,1,83.0,1,74.0,1,2,66.0,Comm&Mgmt,No,68.92,1,58.46,1,275000.0
67,68,1,80.92,1,78.5,1,1,67.0,Comm&Mgmt,No,68.71,0,60.99,1,275000.0
68,69,0,69.7,0,47.0,0,1,72.7,Sci&Tech,No,79.0,1,59.24,0,
69,70,1,73.0,0,73.0,0,2,66.0,Sci&Tech,Yes,70.0,0,68.07,1,275000.0
70,71,1,82.0,1,61.0,1,2,62.0,Sci&Tech,No,89.0,0,65.45,1,360000.0
71,72,1,75.0,1,70.29,1,1,71.0,Comm&Mgmt,No,95.0,0,66.94,1,240000.0
72,73,1,84.86,1,67.0,1,2,78.0,Comm&Mgmt,No,95.5,0,68.53,1,240000.0
73,74,1,64.6,0,83.83,1,1,71.72,Comm&Mgmt,No,86.0,0,59.75,1,218000.0
74,75,1,56.6,0,64.8,0,1,70.2,Comm&Mgmt,No,84.27,0,67.2,1,336000.0
75,76,0,59.0,0,62.0,1,1,77.5,Comm&Mgmt,No,74.0,1,67.0,0,
76,77,0,66.5,1,70.4,0,0,71.93,Comm&Mgmt,No,61.0,0,64.27,1,230000.0
77,78,1,64.0,1,80.0,1,2,65.0,Sci&Tech,Yes,69.0,0,57.65,1,500000.0
78,79,1,84.0,1,90.9,1,2,64.5,Sci&Tech,No,86.04,0,59.42,1,270000.0
79,80,0,69.0,0,62.0,0,2,66.0,Sci&Tech,No,75.0,1,67.99,0,
80,81,0,69.0,1,62.0,1,1,69.0,Comm&Mgmt,Yes,67.0,1,62.35,1,240000.0
81,82,1,81.7,1,63.0,1,2,67.0,Comm&Mgmt,Yes,86.0,0,70.2,1,300000.0
82,83,1,63.0,0,67.0,0,1,74.0,Comm&Mgmt,No,82.0,0,60.44,0,
83,84,1,84.0,1,79.0,1,2,68.0,Sci&Tech,Yes,84.0,0,66.69,1,300000.0
84,85,1,70.0,0,63.0,1,2,70.0,Sci&Tech,Yes,55.0,0,62.0,1,300000.0
85,86,0,83.84,1,89.83,1,1,77.2,Comm&Mgmt,Yes,78.74,0,76.18,1,400000.0
86,87,1,62.0,1,63.0,1,1,64.0,Comm&Mgmt,No,67.0,0,57.03,1,220000.0
87,88,1,59.6,0,51.0,0,2,60.0,Others,No,75.0,1,59.08,0,
88,89,0,66.0,0,62.0,0,1,73.0,Comm&Mgmt,No,58.0,1,64.36,1,210000.0
89,90,0,84.0,1,75.0,1,2,69.0,Sci&Tech,Yes,62.0,1,62.36,1,210000.0
90,91,0,85.0,1,90.0,1,1,82.0,Comm&Mgmt,No,92.0,0,68.03,1,300000.0
91,92,1,52.0,0,57.0,0,1,50.8,Comm&Mgmt,No,67.0,1,62.79,0,
92,93,0,60.23,0,69.0,0,2,66.0,Comm&Mgmt,No,72.0,0,59.47,1,230000.0
93,94,1,52.0,0,62.0,0,1,54.0,Comm&Mgmt,No,72.0,1,55.41,0,
94,95,1,58.0,0,62.0,0,1,64.0,Comm&Mgmt,No,53.88,0,54.97,1,260000.0
95,96,1,73.0,0,78.0,1,1,65.0,Comm&Mgmt,Yes,95.46,0,62.16,1,420000.0
96,97,0,76.0,0,70.0,0,2,76.0,Comm&Mgmt,Yes,66.0,0,64.44,1,300000.0
97,98,0,70.5,0,62.5,1,1,61.0,Comm&Mgmt,No,93.91,0,69.03,0,
98,99,0,69.0,0,73.0,0,1,65.0,Comm&Mgmt,No,70.0,0,57.31,1,220000.0
99,100,1,54.0,0,82.0,1,1,63.0,Sci&Tech,No,50.0,0,59.47,0,
100,101,0,45.0,1,57.0,1,1,58.0,Comm&Mgmt,Yes,56.39,1,64.95,0,
101,102,1,63.0,0,72.0,0,1,68.0,Comm&Mgmt,No,78.0,1,60.44,1,380000.0
102,103,0,77.0,1,61.0,1,1,68.0,Comm&Mgmt,Yes,57.5,0,61.31,1,300000.0
103,104,1,73.0,0,78.0,0,2,73.0,Sci&Tech,Yes,85.0,1,65.83,1,240000.0
104,105,1,69.0,0,63.0,1,2,65.0,Comm&Mgmt,Yes,55.0,1,58.23,1,360000.0
105,106,1,59.0,0,64.0,1,2,58.0,Sci&Tech,No,85.0,1,55.3,0,
106,107,1,61.08,1,50.0,1,2,54.0,Sci&Tech,No,71.0,0,65.69,0,
107,108,1,82.0,1,90.0,1,1,83.0,Comm&Mgmt,No,80.0,1,73.52,1,200000.0
108,109,1,61.0,0,82.0,0,1,69.0,Comm&Mgmt,No,84.0,0,58.31,1,300000.0
109,110,1,52.0,0,63.0,1,2,65.0,Sci&Tech,Yes,86.0,1,56.09,0,
110,111,0,69.5,0,70.0,0,2,72.0,Sci&Tech,No,57.2,1,54.8,1,250000.0
111,112,1,51.0,1,54.0,1,2,61.0,Sci&Tech,No,60.0,1,60.64,0,
112,113,1,58.0,1,61.0,1,1,61.0,Comm&Mgmt,No,58.0,1,53.94,1,250000.0
113,114,0,73.96,1,79.0,1,1,67.0,Comm&Mgmt,No,72.15,0,63.08,1,280000.0
114,115,1,65.0,0,68.0,1,2,69.0,Comm&Mgmt,No,53.7,1,55.01,1,250000.0
115,116,0,73.0,1,63.0,1,2,66.0,Comm&Mgmt,No,89.0,0,60.5,1,216000.0
116,117,1,68.2,0,72.8,0,1,66.6,Comm&Mgmt,Yes,96.0,0,70.85,1,300000.0
117,118,1,77.0,1,75.0,1,2,73.0,Sci&Tech,No,80.0,0,67.05,1,240000.0
118,119,1,76.0,0,80.0,0,2,78.0,Sci&Tech,Yes,97.0,1,70.48,1,276000.0
119,120,1,60.8,0,68.4,0,1,64.6,Comm&Mgmt,Yes,82.66,0,64.34,1,940000.0
120,121,1,58.0,1,40.0,1,2,59.0,Comm&Mgmt,No,73.0,1,58.81,0,
121,122,0,64.0,0,67.0,1,2,69.6,Sci&Tech,Yes,55.67,1,71.49,1,250000.0
122,123,0,66.5,0,66.8,0,0,69.3,Comm&Mgmt,Yes,80.4,0,71.0,1,236000.0
123,124,1,74.0,1,59.0,1,1,73.0,Comm&Mgmt,Yes,60.0,1,56.7,1,240000.0
124,125,1,67.0,0,71.0,0,2,64.33,Others,Yes,64.0,1,61.26,1,250000.0
125,126,0,84.0,0,73.0,0,1,73.0,Comm&Mgmt,No,75.0,0,73.33,1,350000.0
126,127,0,79.0,1,61.0,1,2,75.5,Sci&Tech,Yes,70.0,0,68.2,1,210000.0
127,128,0,72.0,1,60.0,1,2,69.0,Comm&Mgmt,No,55.5,1,58.4,1,250000.0
128,129,1,80.4,0,73.4,0,2,77.72,Sci&Tech,Yes,81.2,1,76.26,1,400000.0
129,130,1,76.7,0,89.7,1,1,66.0,Comm&Mgmt,Yes,90.0,0,68.55,1,250000.0
130,131,1,62.0,0,65.0,1,1,60.0,Comm&Mgmt,No,84.0,0,64.15,0,
131,132,0,74.9,1,57.0,1,2,62.0,Others,Yes,80.0,0,60.78,1,360000.0
132,133,1,67.0,1,68.0,1,1,64.0,Comm&Mgmt,Yes,74.4,1,53.49,1,300000.0
133,134,1,73.0,0,64.0,1,1,77.0,Comm&Mgmt,Yes,65.0,1,60.98,1,250000.0
134,135,0,77.44,0,92.0,1,1,72.0,Comm&Mgmt,Yes,94.0,0,67.13,1,250000.0
135,136,0,72.0,0,56.0,1,2,69.0,Comm&Mgmt,No,55.6,1,65.63,1,200000.0
136,137,0,47.0,0,59.0,0,0,64.0,Comm&Mgmt,No,78.0,0,61.58,0,
137,138,1,67.0,1,63.0,0,1,72.0,Comm&Mgmt,No,56.0,1,60.41,1,225000.0
138,139,0,82.0,1,64.0,1,2,73.0,Sci&Tech,Yes,96.0,0,71.77,1,250000.0
139,140,1,77.0,0,70.0,0,1,59.0,Comm&Mgmt,Yes,58.0,0,54.43,1,220000.0
140,141,1,65.0,0,64.8,1,1,69.5,Comm&Mgmt,Yes,56.0,0,56.94,1,265000.0
141,142,1,66.0,0,64.0,0,2,60.0,Comm&Mgmt,No,60.0,1,61.9,0,
142,143,1,85.0,0,60.0,1,2,73.43,Sci&Tech,Yes,60.0,0,61.29,1,260000.0
143,144,1,77.67,1,64.89,1,1,70.67,Comm&Mgmt,No,89.0,0,60.39,1,300000.0
144,145,1,52.0,1,50.0,1,0,61.0,Comm&Mgmt,No,60.0,0,58.52,0,
145,146,1,89.4,1,65.66,1,2,71.25,Sci&Tech,No,72.0,1,63.23,1,400000.0
146,147,1,62.0,0,63.0,1,2,66.0,Comm&Mgmt,No,85.0,1,55.14,1,233000.0
147,148,1,70.0,0,74.0,0,1,65.0,Comm&Mgmt,No,83.0,0,62.28,1,300000.0
148,149,0,77.0,0,86.0,0,0,56.0,Others,No,57.0,0,64.08,1,240000.0
149,150,1,44.0,0,58.0,0,0,55.0,Comm&Mgmt,Yes,64.25,1,58.54,0,
150,151,1,71.0,0,58.66,0,2,58.0,Sci&Tech,Yes,56.0,0,61.3,1,690000.0
151,152,1,65.0,0,65.0,0,1,75.0,Comm&Mgmt,No,83.0,0,58.87,1,270000.0
152,153,0,75.4,1,60.5,0,2,84.0,Sci&Tech,No,98.0,0,65.25,1,240000.0
153,154,1,49.0,1,59.0,1,2,65.0,Sci&Tech,Yes,86.0,0,62.48,1,340000.0
154,155,1,53.0,0,63.0,1,2,60.0,Comm&Mgmt,Yes,70.0,0,53.2,1,250000.0
155,156,1,51.57,1,74.66,1,1,59.9,Comm&Mgmt,Yes,56.15,1,65.99,0,
156,157,1,84.2,0,69.4,0,2,65.0,Sci&Tech,Yes,80.0,1,52.72,1,255000.0
157,158,1,66.5,0,62.5,0,1,60.9,Comm&Mgmt,No,93.4,0,55.03,1,300000.0
158,159,1,67.0,1,63.0,1,2,64.0,Sci&Tech,No,60.0,0,61.87,0,
159,160,1,52.0,0,49.0,1,1,58.0,Comm&Mgmt,No,62.0,1,60.59,0,
160,161,1,87.0,0,74.0,0,2,65.0,Sci&Tech,Yes,75.0,1,72.29,1,300000.0
161,162,1,55.6,1,51.0,1,1,57.5,Comm&Mgmt,No,57.63,1,62.72,0,
162,163,1,74.2,0,87.6,1,1,77.25,Comm&Mgmt,Yes,75.2,0,66.06,1,285000.0
163,164,1,63.0,1,67.0,1,2,64.0,Sci&Tech,No,75.0,0,66.46,1,500000.0
164,165,0,67.16,0,72.5,0,1,63.35,Comm&Mgmt,No,53.04,0,65.52,1,250000.0
165,166,0,63.3,0,78.33,1,1,74.0,Comm&Mgmt,No,80.0,0,74.56,0,
166,167,1,62.0,1,62.0,1,1,60.0,Comm&Mgmt,Yes,63.0,1,52.38,1,240000.0
167,168,1,67.9,1,62.0,1,2,67.0,Sci&Tech,Yes,58.1,0,75.71,0,
168,169,0,48.0,0,51.0,0,1,58.0,Comm&Mgmt,Yes,60.0,1,58.79,0,
169,170,1,59.96,1,42.16,1,2,61.26,Sci&Tech,No,54.48,1,65.48,0,
170,171,0,63.4,1,67.2,1,1,60.0,Comm&Mgmt,No,58.06,1,69.28,0,
171,172,1,80.0,1,80.0,1,1,72.0,Comm&Mgmt,Yes,63.79,0,66.04,1,290000.0
172,173,1,73.0,1,58.0,1,1,56.0,Comm&Mgmt,No,84.0,1,52.64,1,300000.0
173,174,0,52.0,1,52.0,1,2,55.0,Sci&Tech,No,67.0,1,59.32,0,
174,175,1,73.24,1,50.83,1,2,64.27,Sci&Tech,Yes,64.0,0,66.23,1,500000.0
175,176,1,63.0,1,62.0,1,2,65.0,Sci&Tech,No,87.5,1,60.69,0,
176,177,0,59.0,0,60.0,1,1,56.0,Comm&Mgmt,No,55.0,1,57.9,1,220000.0
177,178,0,73.0,0,97.0,1,1,79.0,Comm&Mgmt,Yes,89.0,0,70.81,1,650000.0
178,179,1,68.0,1,56.0,1,2,68.0,Sci&Tech,No,73.0,1,68.07,1,350000.0
179,180,0,77.8,0,64.0,0,2,64.2,Sci&Tech,No,75.5,1,72.14,0,
180,181,1,65.0,0,71.5,1,1,62.8,Comm&Mgmt,Yes,57.0,0,56.6,1,265000.0
181,182,1,62.0,0,60.33,1,2,64.21,Sci&Tech,No,63.0,1,60.02,0,
182,183,1,52.0,1,65.0,1,0,57.0,Others,Yes,75.0,0,59.81,0,
183,184,1,65.0,0,77.0,0,1,69.0,Comm&Mgmt,No,60.0,1,61.82,1,276000.0
184,185,0,56.28,1,62.83,1,1,59.79,Comm&Mgmt,No,60.0,1,57.29,0,
185,186,0,88.0,0,72.0,0,2,78.0,Others,No,82.0,1,71.43,1,252000.0
186,187,0,52.0,0,64.0,0,1,61.0,Comm&Mgmt,No,55.0,0,62.93,0,
187,188,1,78.5,0,65.5,0,2,67.0,Sci&Tech,Yes,95.0,0,64.86,1,280000.0
188,189,1,61.8,1,47.0,1,1,54.38,Comm&Mgmt,No,57.0,0,56.13,0,
189,190,0,54.0,0,77.6,1,1,69.2,Comm&Mgmt,No,95.65,0,66.94,0,
190,191,0,64.0,1,70.2,0,1,61.0,Comm&Mgmt,No,50.0,0,62.5,0,
191,192,1,67.0,1,61.0,0,2,72.0,Comm&Mgmt,No,72.0,0,61.01,1,264000.0
192,193,1,65.2,0,61.4,0,1,64.8,Comm&Mgmt,Yes,93.4,0,57.34,1,270000.0
193,194,0,60.0,0,63.0,0,0,56.0,Others,Yes,80.0,1,56.63,1,300000.0
194,195,1,52.0,1,55.0,1,1,56.3,Comm&Mgmt,No,59.0,0,64.74,0,
195,196,1,66.0,0,76.0,0,1,72.0,Comm&Mgmt,Yes,84.0,1,58.95,1,275000.0
196,197,1,72.0,1,63.0,1,2,77.5,Sci&Tech,Yes,78.0,0,54.48,1,250000.0
197,198,0,83.96,1,53.0,1,2,91.0,Sci&Tech,No,59.32,1,69.71,1,260000.0
198,199,0,67.0,0,70.0,0,1,65.0,Others,No,88.0,1,71.96,0,
199,200,1,69.0,1,65.0,1,1,57.0,Comm&Mgmt,No,73.0,1,55.8,1,265000.0
200,201,1,69.0,1,60.0,1,1,65.0,Comm&Mgmt,No,87.55,0,52.81,1,300000.0
201,202,1,54.2,0,63.0,1,2,58.0,Comm&Mgmt,No,79.0,1,58.44,0,
202,203,1,70.0,0,63.0,0,2,66.0,Sci&Tech,No,61.28,1,60.11,1,240000.0
203,204,1,55.68,1,61.33,1,1,56.87,Comm&Mgmt,No,66.0,1,58.3,1,260000.0
204,205,0,74.0,1,73.0,1,1,73.0,Comm&Mgmt,Yes,80.0,0,67.69,1,210000.0
205,206,1,61.0,1,62.0,1,1,65.0,Comm&Mgmt,No,62.0,0,56.81,1,250000.0
206,207,1,41.0,0,42.0,0,2,60.0,Comm&Mgmt,No,97.0,0,53.39,0,
207,208,1,83.33,0,78.0,1,1,61.0,Comm&Mgmt,Yes,88.56,0,71.55,1,300000.0
208,209,0,43.0,0,60.0,1,2,65.0,Comm&Mgmt,No,92.66,1,62.92,0,
209,210,1,62.0,0,72.0,0,1,65.0,Comm&Mgmt,No,67.0,0,56.49,1,216000.0
210,211,1,80.6,1,82.0,1,1,77.6,Comm&Mgmt,No,91.0,0,74.49,1,400000.0
211,212,1,58.0,1,60.0,1,2,72.0,Sci&Tech,No,74.0,0,53.62,1,275000.0
212,213,1,67.0,1,67.0,1,1,73.0,Comm&Mgmt,Yes,59.0,0,69.72,1,295000.0
213,214,0,74.0,1,66.0,1,1,58.0,Comm&Mgmt,No,70.0,1,60.23,1,204000.0
214,215,1,62.0,0,58.0,1,2,53.0,Comm&Mgmt,No,89.0,1,60.22,0,
